path,dtype,fill_pct,distinct_count,sample_value
_category_folder,VARCHAR,100.0,1,urunler_tum_urunler
_fetch_date,DATE,100.0,1,2026-08-06
_row_id,BIGINT,100.0,7414,0
_source_object,VARCHAR,100.0,30,category/eveshop/2026-08-06/urunler_tum_urunler/082e9608f63ca797afd92c151cfcefb296c8f288318369935ebbe201ccb82ba5.json
body_html,VARCHAR,100.0,3960,BEYAZLAR İÇİN ANINDA KAPATICI SPREY  3 SANİYEDE SAÇ DİPLERİNDEKİ BEYAZLARI KAPATIR. SAÇ RENGİNİZLE MÜKEMMEL UYUM GÖSTERİ
created_at,TIMESTAMP,100.0,2683,2025-08-13 11:50:38
handle,VARCHAR,100.0,7414,magic-retouch-sprey-koyu-kahve-75-ml-000000000001012233
id,BIGINT,100.0,7414,8644597940362
images,"STRUCT(id BIGINT, created_at TIMESTAMP, ""position"" BIGINT, updated_at TIMESTAMP, product_id BIGINT, variant_ids JSON[], src VARCHAR, width BIGINT, height BIGINT)[]",100.0,7414,"[{'id': 39299560898698, 'created_at': '2025-10-01 00:11:52', 'position': 1, 'updated_at': '2025-10-01 00:11:55', 'produc"
options,"STRUCT(""name"" VARCHAR, ""position"" BIGINT, ""values"" VARCHAR[])[]",100.0,119,"[{'name': Renk, 'position': 1, 'values': [STD]}, {'name': Boyut, 'position': 2, 'values': [STD]}]"
product_type,VARCHAR,100.0,65,Eve Genel Hiyerarşi > SAÇ BAKIM ÜRÜNLERİ > SAÇ BOYASI YARDIMCILARI
published_at,TIMESTAMP,100.0,4970,2025-08-13 11:50:41
tags,VARCHAR[],100.0,5035,"[00, 000000000000000001, 000000000000000022, 000000000000002204, 000000010000042710, 1004, 105, 2, 220404, 75, BE, BEYAZ"
title,VARCHAR,100.0,7342,Magıc Retouch Sprey Koyu Kahve 75 ml
updated_at,TIMESTAMP,100.0,30,2026-08-06 04:32:46
variants,"STRUCT(id BIGINT, title VARCHAR, option1 VARCHAR, option2 VARCHAR, option3 JSON, sku VARCHAR, requires_shipping BOOLEAN, taxable BOOLEAN, featured_image JSON, available BOOLEAN, price VARCHAR, grams BIGINT, compare_at_price JSON, ""position"" BIGINT, product_id BIGINT, created_at TIMESTAMP, updated_at TIMESTAMP)[]",100.0,7414,"[{'id': 46596541579402, 'title': STD / STD, 'option1': STD, 'option2': STD, 'option3': NULL, 'sku': 000000000001012233, "
vendor,VARCHAR,100.0,287,MAGIC RETOUCH
