path,dtype,fill_pct,distinct_count,sample_value
_category_folder,VARCHAR,100.0,14,501_makyaj
_fetch_date,DATE,100.0,2,2026-07-29
_row_id,BIGINT,100.0,39254,0
_source_object,VARCHAR,100.0,420,category/gratis/2026-07-29/501_makyaj/004b0ca151cd2673e9cb52e3bd3e08ad68a3a6a907060cf0e67ba22237711a1b.json
analytics.favoriteCount,BIGINT,100.0,10236,949
analytics.salesCount,BIGINT,100.0,6276,89
analytics.viewCount,BIGINT,100.0,16222,7183
attributes.acmaOrani,VARCHAR,0.0,2,%6
attributes.adet,VARCHAR,0.4,9,60 Adet
attributes.agirlik,VARCHAR,0.6,15,100 gr
attributes.alkolOrani,VARCHAR,0.6,3,80 Derece
attributes.antiperspirant,VARCHAR,3.3,2,Yok
attributes.aroma,VARCHAR,10.2,97,Oryantal & Çiçeksi
attributes.assortmentVariant,VARCHAR,8.9,763,262 Charming
attributes.ayakNumarasi,VARCHAR,0.2,5,Standart Beden
attributes.backShelfOrder,BIGINT,0.7,79,19
attributes.baglantiTipi,VARCHAR,0.0,2,Type C
attributes.baslikSayisi,VARCHAR,0.1,3,1-3 Başlık
attributes.beden,VARCHAR,1.4,18,5
attributes.bicakSayisi,VARCHAR,0.5,5,3 Bıçaklı
attributes.boy,VARCHAR,7.9,9,Orijinal
attributes.boyut,VARCHAR,0.0,5,10 x 12 x 3.5 cm
attributes.boyutEbat,VARCHAR,0.2,23,9 cm
attributes.brand,VARCHAR,100.0,489,Love Generation
attributes.brandId,VARCHAR,100.0,489,61110
attributes.burunVeKulakTemizleme,VARCHAR,0.1,2,Var
attributes.categories,VARCHAR[],100.0,267,"[Makyaj, Dudak Makyajı, Dudak Kalemi]"
attributes.categoryIds,VARCHAR[],100.0,259,"[501, 50101, 5010104]"
attributes.cesit,VARCHAR,97.8,12,Tekli
attributes.ciltTipi,VARCHAR,15.4,21,Tüm Cilt Tipleri
attributes.cinsiyet,VARCHAR,3.9,4,Kadın
attributes.colorName,VARCHAR,38.2,42,Pembe
attributes.colorShadeVariant,VARCHAR,35.4,3610,05 Smart
attributes.colorShadeVariantCode,VARCHAR,35.4,4636,c_2913_05 Smart
attributes.description,VARCHAR,100.0,9307,"Dudaklarınıza saf bir keyif! Uzun süre kalıcı jel kalem, mükemmel dudak konturunu yaratmanıza yardımcı olacak.<br><br>Ma"
attributes.difuzor,VARCHAR,0.1,2,Yok
attributes.dijitalEkran,VARCHAR,0.3,2,Yok
attributes.displayName,VARCHAR,100.0,13095,Love Generation Jel Dudak Kalemi Lip Pleasure 05 Smart - Gel Lip Liner with Matte Finish
attributes.dokunmatikKontrol,VARCHAR,0.0,1,Var
attributes.eanUpc,VARCHAR,100.0,13112,4602006353027
attributes.ebat,VARCHAR,0.1,14,42 x 37 cm
attributes.emicilik,VARCHAR,0.1,3,Süper
attributes.etki,VARCHAR,13.9,89,Besleyici
attributes.features,VARCHAR[],100.0,696,[]
attributes.finish,VARCHAR,3.2,30,Desenli
attributes.fircaKalinligi,VARCHAR,5.7,5,Standart
attributes.fircaKiliSertligi,VARCHAR,1.4,4,Yumuşak
attributes.fircaTipi,VARCHAR,1.8,17,Yüz Temizleme Fırçası
attributes.form,VARCHAR,33.4,46,Likit
attributes.gorunum,VARCHAR,30.4,17,Parlak
attributes.gucKaynagi,VARCHAR,0.0,1,Şarjlı
attributes.gucW,VARCHAR,0.1,6,2000 W
attributes.hacim,VARCHAR,38.1,231,15 ml
attributes.hizAyari,VARCHAR,0.1,2,2 Kademeli
attributes.icerik,VARCHAR,3.4,4,Oksidanlı
attributes.isiAyari,VARCHAR,0.1,2,3 Kademeli
attributes.isletimSistemi,VARCHAR,0.0,1,iOS & Android
attributes.islev,VARCHAR,0.2,3,Düzleştirme
attributes.iyonOzelligi,VARCHAR,0.2,2,Var
attributes.kalicilik,VARCHAR,2.7,2,Kalıcı
attributes.kalinlik,VARCHAR,0.2,2,Kalın
attributes.kapasite,VARCHAR,0.2,6,600 ml
attributes.kapaticilik,VARCHAR,4.8,5,Orta
attributes.keywords,VARCHAR[],100.0,3669,"[Gel Lip Pencil, Matte Lip Pencil, Mat Bitişli Dudak Kalemi, Matlık Veren Dudak Kalemi, Uzun Süre Kalıcı Dudak Kalemi, D"
attributes.kilTipi,VARCHAR,1.1,16,Silikon
attributes.kullanim,VARCHAR,2.0,4,Tek Kullanımlık
attributes.kullanimAlani,VARCHAR,0.2,2,Günlük
attributes.kullanimAmaci,VARCHAR,13.9,65,Nemlendirici
attributes.maksimumSicaklik,VARCHAR,0.2,7,200 Derece
attributes.malzeme,VARCHAR,0.2,2,Paslanmaz Çelik
